symbol,name,price,chg,pct_chg,volume_str,avg_volume_str,market_cap_str,pe_ratio,avg_volume,market_cap
WFC-PQ,Wells Fargo & Company,26.68,0.18,+0.70%,"98,380","126,974",214.477B,65.09,126974,214477000000
WFC-PO,Wells Fargo & Company,25.37,0.1,+0.40%,"16,134","39,017",214.287B,61.88,39017,214287000000
WFC-PY,Wells Fargo & Company,26.11,0.14,+0.52%,"23,935","41,964",213.238B,63.70,41964,213238000000
CICHY,China Construction Bank Corporation,16.85,0.27,+1.63%,"11,500","123,343",213.213B,,123343,213213000000
WFC-PX,Wells Fargo & Company,25.55,0.07,+0.26%,"37,813","65,735",212.781B,62.31,65735,212781000000
T,AT&T Inc.,29.78,-0.21,-0.70%,19.442M,44.706M,212.384B,,44706000,212384000000
WFC-PN,Wells Fargo & Company,25.19,0.05,+0.20%,"8,828","40,379",212.341B,61.44,40379,212341000000
WFC-PP,Wells Fargo & Company,25.01,-0.0,-0.01%,"24,551","59,563",210.717B,60.99,59563,210717000000
WFC-PR,Wells Fargo & Company,28.53,0.19,+0.67%,"28,694","51,968",210.3B,69.59,51968,210300000000
ABT,Abbott Laboratories,117.49,1.61,+1.39%,1.946M,5.029M,208.137B,46.94,5029000,208137000000
TM,Toyota Motor Corporation,151.03,-0.85,-0.56%,"289,423","370,048",208.113B,9.23,370048,208113000000
CSCO,"Cisco Systems, Inc.",48.97,0.68,+1.42%,9.349M,20.257M,206.762B,20.49,20257000,206762000000
CICHF,China Construction Bank Corporation,0.8050,-0.025,-3.01%,290,"78,020",203.478B,5.19,78020,203478000000
WFC-PW,Wells Fargo & Company,25.00,-0.01,-0.02%,"22,512","140,778",203.379B,60.99,140778,203379000000
PDD,Pinduoduo Inc.,162.68,14.54,+9.81%,6.316M,7.975M,199.493B,,7975000,199493000000
CIHKY,"China Merchants Bank Co., Ltd.",39.57,1.64,+4.32%,"8,490","37,446",199.152B,16.73,37446,199152000000
CRM,"salesforce.com, inc.",216.60,4.64,+2.19%,3.997M,8.032M,198.781B,49.45,8032000,198781000000
ORCL,Oracle Corporation,67.39,-4.73,-6.56%,27.187M,12.088M,198.398B,20.38,12088000,198398000000
PROSY,Prosus N.V.,24.34,0.98,+4.20%,"103,548","359,105",197.094B,48.78,359105,197094000000
LLY,Eli Lilly and Company,205.60,0.15,+0.07%,1.87M,4.208M,197.052B,30.28,4208000,197052000000
PFE,Pfizer Inc.,34.97,0.04,+0.13%,12.012M,37.305M,195.078B,20.49,37305000,195078000000
NVS,Novartis AG,85.17,0.98,+1.16%,"966,451",2.07M,192.61B,24.20,2069999,192610000000
ABBV,AbbVie Inc.,108.50,0.5,+0.46%,2.406M,7.207M,191.598B,39.89,7207000,191598000000
NVSEF,Novartis AG,84.00,0.0,0.00%,"20,058","42,080",190.397B,23.86,42080,190397000000
MRK,"Merck & Co., Inc.",74.95,0.19,+0.25%,6.657M,10.735M,189.647B,26.96,10735000,189647000000
BHP,BHP Group,74.04,1.07,+1.47%,1.307M,2.69M,188.414B,26.92,2690000,188414000000
AVGO,Broadcom Inc.,455.43,17.84,+4.08%,1.335M,1.896M,185.918B,52.67,1896000,185918000000
BHPLF,BHP Group,37.14,0.0,0.00%,127,"303,121",185.691B,27.01,303121,185691000000
PEP,"PepsiCo, Inc.",134.26,0.68,+0.51%,2.143M,5.018M,185.227B,26.22,5018000,185227000000
TMO,Thermo Fisher Scientific Inc.,458.79,17.7,+4.01%,1.358M,1.748M,180.666B,28.75,1748000,180666000000
ACGBF,Agricultural Bank of China Limited,0.4125,0.0,0.00%,517,"111,988",177.465B,4.53,111988,177465000000
ACN,Accenture plc,267.17,10.03,+3.90%,1.388M,2.041M,176.639B,32.89,2041000,176639000000
SFTBY,SoftBank Group Corp.,47.93,1.61,+3.48%,"448,975","361,483",170.036B,6.70,361483,170036000000
NONOF,Novo Nordisk A/S,72.54,1.1,+1.54%,"1,547","35,951",168.443B,29.46,35951,168443000000
NVO,Novo Nordisk A/S,72.00,0.27,+0.38%,"356,485",1.106M,166.517B,29.25,1106000,166517000000
RDS-B,Royal Dutch Shell plc,41.92,-0.23,-0.55%,1.142M,3.147M,165.172B,,3147000,165172000000
RDS-A,Royal Dutch Shell plc,44.04,-0.34,-0.75%,2.33M,5.175M,164.825B,,5175000,164825000000
RYDAF,Royal Dutch Shell plc,21.73,-0.17,-0.78%,"1,351","210,973",164.789B,,210973,164789000000
TBB,AT&T Inc. 5.35% GLB NTS 66,26.36,0.11,+0.42%,"36,549","70,205",161.845B,5.15,70205,161845000000
TXN,Texas Instruments Incorporated,174.99,5.57,+3.29%,1.915M,4.618M,161.517B,29.32,4618000,161517000000
WFC,Wells Fargo & Company,38.97,-0.61,-1.54%,17.99M,36.123M,161.106B,95.05,36123000,161106000000
C-PJ,Citigroup Inc.,28.36,0.1,+0.34%,"19,980","67,660",160.957B,6.01,67660,160957000000
TMUS,"T-Mobile US, Inc.",129.40,1.99,+1.56%,2.129M,4.476M,160.818B,48.89,4476000,160818000000
MDT,Medtronic plc,118.93,0.27,+0.23%,1.94M,4.446M,160.326B,52.65,4446000,160326000000
SBRCY,Sberbank of Russia,15.75,0.32,+2.04%,"57,181","205,155",159.752B,3.21,205155,159752000000
MCD,McDonald's Corporation,213.80,0.49,+0.23%,1.735M,3.193M,159.403B,33.88,3193000,159403000000
AAGIY,AIA Group Limited,52.40,0.4,+0.77%,"105,299","272,953",157.592B,28.85,272953,157592000000
AAIGF,AIA Group Limited,13.14,0.1,+0.73%,"16,107","47,623",157.529B,28.94,47623,157529000000
UL,Unilever PLC,54.70,-0.13,-0.24%,1.386M,2.316M,157.359B,21.65,2316000,157359000000
MS,Morgan Stanley,83.28,0.19,+0.23%,5.266M,11.328M,156.602B,12.89,11328000,156602000000
DHR,Danaher Corporation,218.25,5.32,+2.50%,1.017M,2.51M,155.439B,44.68,2510000,155439000000
BBL,BHP Group,61.15,1.38,+2.30%,1.345M,1.603M,153.313B,22.23,1603000,153313000000
C,Citigroup Inc.,73.26,-0.49,-0.66%,11.906M,20.631M,152.928B,15.52,20631000,152928000000
SAPGF,SAP SE,127.60,2.41,+1.93%,"68,253","27,410",151.368B,30.83,27410,151368000000
QCOM,QUALCOMM Incorporated,132.69,4.82,+3.77%,6.745M,10.239M,150.736B,22.68,10239000,150736000000
SAP,SAP SE,127.01,1.08,+0.86%,"615,861","967,526",149.779B,30.69,967526,149779000000
HON,Honeywell International Inc.,213.83,0.92,+0.43%,1.367M,2.688M,148.719B,31.82,2688000,148719000000
NEE,"NextEra Energy, Inc.",75.41,0.95,+1.28%,3.367M,8.532M,147.794B,50.95,8532000,147794000000
COST,Costco Wholesale Corporation,331.06,7.23,+2.23%,2.757M,2.852M,146.545B,33.85,2852000,146545000000
BA,The Boeing Company,250.12,4.79,+1.95%,22.753M,14.585M,145.983B,,14585000,145983000000
UPS,"United Parcel Service, Inc.",168.15,2.92,+1.77%,1.685M,3.582M,145.793B,109.19,3582000,145793000000
UNP,Union Pacific Corporation,216.14,3.02,+1.42%,1.399M,2.768M,144.777B,27.43,2768000,144777000000
SHOP,Shopify Inc.,"1,156.00",68.1,+6.26%,1.125M,1.481M,142.09B,446.33,1481000,142090000000
LIN,Linde plc,269.38,3.74,+1.41%,"750,133",1.828M,140.842B,57.22,1828000,140842000000
JDCMF,"JD.com, Inc.",45.34,0.32,+0.71%,102,"50,995",140.071B,,50995,140071000000
VWAGY,Volkswagen AG,27.83,-0.76,-2.66%,1.193M,"406,820",138.42B,,406820,138420000000
JD,"JD.com, Inc.",89.99,0.66,+0.74%,19.111M,10.759M,137.807B,612.18,10759000,137807000000
BACHF,Bank of China Limited,0.3524,0.0,0.00%,"25,230","166,520",137.041B,3.92,166520,137041000000
BMY,Bristol-Myers Squibb Company,60.87,-0.06,-0.10%,5.193M,12.239M,136.378B,,12239000,136377999999
BACHY,Bank of China Limited,9.25,-0.05,-0.54%,"32,071","61,601",136.304B,4.11,61601,136304000000
PM,Philip Morris International Inc.,87.36,0.6,+0.69%,1.618M,5.002M,136.059B,16.93,5002000,136059000000
AMGN,Amgen Inc.,233.49,3.53,+1.54%,"940,904",2.563M,134.856B,18.97,2563000,134856000000
NABZY,National Australia Bank Limited,10.23,-0.05,-0.50%,"6,946","55,640",132.875B,14.27,55640,132875000000
RY,Royal Bank of Canada,93.01,1.14,+1.24%,"610,167",1.183M,132.226B,14.80,1183000,132226000000
TOT,TOTAL SE,49.98,0.37,+0.75%,"938,718",2.523M,130.16B,,2523000,130160000000
RIO,Rio Tinto Group,82.07,1.86,+2.32%,1.942M,2.148M,129.945B,13.68,2148000,129945000000
SIEGY,Siemens Aktiengesellschaft,81.52,0.76,+0.94%,"144,782","134,500",129.932B,19.97,134500,129931999999
VWAPY,Volkswagen AG,23.04,-0.45,-1.92%,"87,057","122,961",129.262B,7.55,122961,129262000000
AZN,AstraZeneca PLC,49.04,-0.77,-1.55%,8.701M,13.059M,129.083B,40.26,13059000,129083000000
SNE,Sony Corporation,103.43,2.44,+2.42%,"447,231",1.048M,128.274B,21.74,1048000,128274000000
SBUX,Starbucks Corporation,108.41,0.63,+0.58%,2.251M,5.985M,127.631B,190.86,5985000,127631000000
WFC-PC,Wells Fargo & Company,24.54,0.31,+1.28%,"142,502",1.22M,126.624B,,1220000,126624000000
LOW,"Lowe's Companies, Inc.",172.95,4.49,+2.67%,2.363M,4.186M,126.426B,22.32,4186000,126426000000
SCHW,The Charles Schwab Corporation,66.27,1.24,+1.91%,4.433M,8.546M,124.743B,31.26,8546000,124743000000
BUD,Anheuser-Busch InBev SA/NV,62.32,-1.04,-1.64%,"958,262",1.731M,122.643B,89.16,1731000,122643000000
CHTR,"Charter Communications, Inc.",627.47,-1.6,-0.25%,"803,701",1.211M,121.56B,40.74,1211000,121560000000
SE,Sea Limited,237.34,20.13,+9.27%,4.544M,4.167M,121.502B,,4167000,121502000000
SNY,Sanofi,48.06,0.1,+0.22%,"753,265",2.842M,120.457B,24.77,2842000,120457000000
HSBC,HSBC Holdings plc,29.60,-0.73,-2.41%,1.36M,2.208M,120.177B,31.16,2208000,120177000000
CAT,Caterpillar Inc.,220.25,-0.81,-0.37%,1.467M,3.055M,120.103B,40.34,3055000,120103000000
PTR,PetroChina Company Limited,39.13,0.62,+1.62%,"100,503","175,923",119.181B,8.89,175923,119181000000
ABNB,"Airbnb, Inc.",199.10,15.31,+8.33%,4.32M,7.888M,118.952B,,7888000,118952000000
HDB,HDFC Bank Limited,83.48,0.49,+0.59%,"575,601",1.431M,118.501B,161.31,1431000,118501000000
AXP,American Express Company,147.07,0.32,+0.22%,1.509M,3.869M,118.478B,39.01,3869000,118478000000
GS,"The Goldman Sachs Group, Inc.",342.12,0.1,+0.03%,1.68M,3.251M,118.303B,13.83,3251000,118303000000
RTX,Raytheon Technologies Corporation,77.75,1.19,+1.55%,3.183M,7.316M,118.14B,,7316000,118140000000
TD,The Toronto-Dominion Bank,64.91,0.6,+0.93%,"849,120",1.683M,117.756B,14.37,1683000,117756000000
LFC,China Life Insurance Company Limited,10.76,0.05,+0.42%,"494,402","478,636",117.425B,16.17,478636,117425000000
DCMYY,"NTT DOCOMO, INC.",36.12,0.0,0.00%,"1,743","26,085",116.618B,18.59,26085,116618000000
DE,Deere & Company,364.33,3.11,+0.86%,"922,256",1.736M,114.195B,33.33,1736000,114195000000
IBM,International Business Machines Corporation,127.72,-0.15,-0.12%,2.699M,6.571M,114.13B,20.49,6571000,114130000000
IDEXY,"Industria de Diseño Textil, S.A.",17.94,0.51,+2.95%,"129,323","490,181",112.212B,27.69,490181,112212000000
BLK,"BlackRock, Inc.",726.04,-2.46,-0.34%,"291,344","712,608",110.818B,22.80,712608,110818000000
INTU,Intuit Inc.,399.68,16.86,+4.41%,"546,505",1.38M,109.45B,60.99,1380000,109450000000
SQ,"Square, Inc.",238.92,12.19,+5.38%,7.538M,10.712M,108.617B,543.00,10712000,108617000000
UBER,"Uber Technologies, Inc.",58.41,0.73,+1.27%,9.858M,21.809M,108.546B,,21809000,108546000000
AMAT,"Applied Materials, Inc.",117.46,4.78,+4.24%,3.84M,7.969M,107.788B,28.09,7969000,107788000000
MMM,3M Company,184.54,0.03,+0.02%,1.123M,2.693M,106.867B,19.95,2693000,106867000000
GE,General Electric Company,12.08,-1.17,-8.81%,199.397M,81.879M,105.938B,20.98,81879000,105938000000
EL,The Estée Lauder Companies Inc.,291.85,6.6,+2.31%,"804,064",1.419M,105.869B,115.49,1419000,105869000000
NPSNY,Naspers Limited,49.00,2.28,+4.88%,"128,613","174,715",104.915B,36.23,174715,104915000000
ALIZY,Allianz SE,25.51,0.03,+0.14%,"16,886","115,015",104.845B,,115015,104845000000
DFIFF,Diamond Fields Resources Inc.,0.1958,-0.0022,-1.12%,"6,191","103,123",103.432B,,103123,103432000000
ZM,"Zoom Video Communications, Inc.",352.33,16.3,+4.85%,2.443M,6.051M,102.841B,156.59,6051000,102841000000
GS-PN,"The Goldman Sachs Group, Inc.",25.38,0.02,+0.08%,"10,621","51,896",101.223B,1.03,51896,101223000000
ENLAY,Enel SpA,9.93,0.17,+1.72%,"74,019","511,493",101.05B,20.81,511493,101050000000
ESOCF,Enel SpA,9.85,0.14,+1.41%,"13,575","32,051",100.746B,20.66,32051,100746000000
MU,"Micron Technology, Inc.",89.34,3.93,+4.60%,13.95M,18.265M,99.942B,33.70,18265000,99942000000
NOW,"ServiceNow, Inc.",506.20,32.2,+6.79%,1.295M,1.46M,99.266B,857.97,1460000,99266000000
AMD,"Advanced Micro Devices, Inc.",81.42,3.9,+5.03%,29.642M,43.31M,98.627B,39.45,43310000,98627000000
BKNG,Booking Holdings Inc.,"2,386.68",17.36,+0.73%,"284,910","379,001",97.763B,"1,657.42",379001,97763000000
DEO,Diageo plc,167.57,0.21,+0.13%,"258,631","442,915",97.373B,26.17,442915,97373000000
USB-PH,U.S. Bancorp,23.50,0.29,+1.23%,"35,953","167,032",96.728B,7.68,167032,96728000000
LMT,Lockheed Martin Corporation,342.40,1.56,+0.46%,"845,346",1.896M,95.907B,14.09,1896000,95907000000
AMT,American Tower Corporation (REIT),214.88,10.46,+5.12%,2.275M,2.304M,95.489B,56.70,2304000,95489000000
CVS,CVS Health Corporation,72.67,-0.03,-0.04%,3.065M,6.977M,95.296B,13.30,6977000,95296000000
NTTYY,Nippon Telegraph and Telephone Corporation,26.01,-0.2,-0.76%,"36,506","171,615",93.594B,6.23,171615,93594000000
VALE,Vale S.A.,18.05,0.83,+4.79%,18.439M,29.093M,92.569B,18.95,29093000,92569000000
EADSY,Airbus SE,29.65,-0.04,-0.13%,"160,117","345,048",92.175B,27.07,345048,92175000000
DTEGY,Deutsche Telekom AG,19.42,0.15,+0.78%,"45,689","191,788",92.135B,20.10,191788,92135000000
BPAQF,BP p.l.c.,4.4550,0.135,+3.12%,300,"126,768",91.79B,,126768,91790000000
FIS,"Fidelity National Information Services, Inc.",147.00,1.87,+1.29%,1.742M,4.602M,91.306B,588.00,4602000,91306000000
BIDU,"Baidu, Inc.",270.38,15.24,+5.97%,6.499M,11.459M,91.01B,21.07,11459000,91010000000
DDAIF,Daimler AG,85.15,-1.5,-1.73%,"14,703","29,933",90.857B,8.62,29933,90857000000
SYK,Stryker Corporation,239.95,-0.13,-0.05%,"409,262",1.174M,90.269B,57.13,1174000,90269000000
DMLRY,Daimler AG,21.09,-0.54,-2.50%,"39,789","91,418",90.149B,8.54,91418,90149000000
TGT,Target Corporation,179.80,1.22,+0.68%,1.576M,4.014M,90.058B,20.81,4014000,90058000000
MO,"Altria Group, Inc.",48.23,0.03,+0.06%,4.055M,9.045M,89.645B,20.10,9045000,89645000000
GLAXF,GlaxoSmithKline plc,17.56,0.04,+0.20%,"613,479","379,185",89.597B,35.40,379185,89597000000
SNAP,Snap Inc.,59.33,4.26,+7.74%,13.651M,22.409M,89.495B,,22409000,89495000000
CSLLY,CSL Limited,99.59,0.99,+1.00%,"23,358","55,648",89.437B,34.07,55648,89437000000
BP,BP p.l.c.,26.73,0.08,+0.28%,6.824M,16.952M,89.259B,,16952000,89259000000
GSK,GlaxoSmithKline plc,35.60,0.01,+0.01%,3.06M,5.747M,88.767B,35.89,5747000,88767000000
GS-PA,"The Goldman Sachs Group, Inc.",23.80,0.04,+0.17%,"42,671","52,440",87.714B,0.96,52440,87714000000
PPRUY,Kering SA,70.48,1.38,+1.99%,"364,635","71,226",87.433B,22.96,71226,87433000000
ISRG,"Intuitive Surgical, Inc.",737.07,17.26,+2.40%,"206,918","600,778",86.766B,83.57,600778,86766000000
USB-PP,U.S. Bancorp,27.41,0.07,+0.26%,"12,699","44,108",85.993B,8.96,44108,85993000000
MS-PA,Morgan Stanley,24.33,0.2,+0.81%,"81,698","105,986",85.657B,3.77,105986,85657000000
GS-PD,"The Goldman Sachs Group, Inc.",24.04,0.16,+0.66%,"68,753","109,410",85.302B,0.97,109410,85302000000
SBGSY,Schneider Electric S.E.,30.68,0.54,+1.80%,"98,456","131,451",84.932B,33.60,131451,84932000000
FISV,"Fiserv, Inc.",125.41,1.55,+1.25%,2.457M,4.624M,83.957B,89.58,4624000,83957000000
CI,Cigna Corporation,239.37,1.15,+0.48%,"583,315",1.93M,83.916B,10.43,1930000,83916000000
BTI,British American Tobacco p.l.c.,37.25,0.1,+0.27%,1.835M,2.214M,83.7B,1.68,2214000,83700000000
SPGI,S&P Global Inc.,346.15,1.8,+0.52%,"861,211",1.851M,83.318B,35.83,1851000,83318000000
ANTM,"Anthem, Inc.",336.90,3.37,+1.01%,"399,068",1.287M,82.509B,18.74,1287000,82509000000
CNI,Canadian National Railway Company,115.99,1.57,+1.37%,"340,807","848,306",82.279B,19.75,848306,82279000000
INFY,Infosys Limited,19.14,0.45,+2.44%,3.644M,8.417M,81.72B,32.43,8417000,81720000000
COP,ConocoPhillips,60.23,0.81,+1.36%,5.654M,11.118M,81.595B,,11118000,81595000000
GM,General Motors Company,56.35,-0.48,-0.84%,13.714M,23.503M,81.199B,13.01,23503000,81199000000
MDLZ,"Mondelez International, Inc.",56.47,0.28,+0.49%,2.355M,7.452M,80.911B,22.86,7452000,80911000000
BYDDY,BYD Company Limited,51.88,4.12,+8.63%,"348,010","336,523",80.862B,186.62,336523,80862000000
BYDDF,BYD Company Limited,25.95,2.0,+8.33%,"288,774","451,030",80.64B,,451030,80640000000
USB,U.S. Bancorp,53.49,-0.29,-0.55%,3.713M,7.347M,80.365B,17.48,7347000,80365000000
GILD,"Gilead Sciences, Inc.",63.87,-0.04,-0.06%,4.257M,9.262M,80.258B,651.73,9262000,80258000000
SNP,China Petroleum & Chemical Corporation,56.36,0.69,+1.24%,"63,022","179,660",79.983B,6.19,179660,79983000000
IBDRY,"Iberdrola, S.A.",52.16,0.9,+1.77%,"12,592","70,200",79.78B,25.57,70200,79780000000
TJX,"The TJX Companies, Inc.",66.17,0.57,+0.87%,2.592M,7.024M,79.446B,945.29,7024000,79446000000
USB-PM,U.S. Bancorp,26.29,0.01,+0.04%,"78,015","178,628",79.338B,8.59,178628,79338000000
NETTF,"NetEase, Inc.",23.00,1.46,+6.79%,"1,082","26,076",79.264B,,26076,79264000000
TFC,Truist Financial Corporation,58.80,0.0,0.00%,6.127M,5.788M,79.215B,,5788000,79215000000
BASFY,BASF SE,21.57,-0.16,-0.72%,"262,731","181,790",78.651B,11.54,181790,78651000000
BAYP,"Bayport International Holdings, Inc.",5.80,-0.28,-4.61%,"297,459","147,284",78.646B,,147284,78646000000
ADP,"Automatic Data Processing, Inc.",183.77,2.63,+1.45%,"645,954",1.854M,78.643B,31.85,1854000,78643000000
MS-PK,Morgan Stanley,28.92,0.19,+0.64%,"15,301","66,507",78.599B,4.48,66507,78599000000
MELI,"MercadoLibre, Inc.","1,572.88",137.31,+9.56%,"554,939","585,728",78.439B,,585728,78439000000
BNPQY,BNP Paribas SA,31.41,-0.3,-0.95%,"194,554","272,921",77.58B,9.24,272921,77580000000
CB,Chubb Limited,171.23,-2.25,-1.30%,1.131M,1.629M,77.093B,21.98,1629000,77093000000
NTES,"NetEase, Inc.",109.54,3.9,+3.69%,1.167M,2.643M,76.965B,16.43,2643000,76965000000
LRCX,Lam Research Corporation,538.18,19.48,+3.76%,"791,721",1.591M,76.91B,26.73,1591000,76910000000
BNS,The Bank of Nova Scotia,63.29,0.5,+0.80%,"503,650",1.283M,76.413B,12.35,1283000,76413000000
MS-PI,Morgan Stanley,28.61,0.06,+0.21%,"49,596","58,717",76.299B,4.43,58717,76299000000
RCRUY,"Recruit Holdings Co., Ltd.",9.36,0.26,+2.86%,"35,035","187,551",76.144B,53.18,187551,76144000000
HKXCY,Hong Kong Exchanges and Clearing Limited,59.69,2.35,+4.10%,"13,373","46,411",75.628B,62.11,46411,75628000000
AIQUY,L'Air Liquide S.A.,32.03,0.04,+0.13%,"84,914","156,073",75.515B,25.49,156073,75515000000
PNC,"The PNC Financial Services Group, Inc.",177.34,-0.44,-0.25%,"583,331",1.975M,75.196B,10.45,1975000,75196000000
MS-PE,Morgan Stanley,29.32,0.23,+0.80%,"22,336","56,913",74.377B,4.54,56913,74377000000
OGZPY,Public Joint Stock Company Gazprom,6.31,0.06,+0.96%,"213,869","645,788",74.329B,1.88,645788,74329000000
PSBKF,"Postal Savings Bank of China Co., Ltd.",0.7871,0.0,0.00%,"400,000","70,533",74.323B,,70533,74323000000
MS-PF,Morgan Stanley,28.72,0.1,+0.33%,"16,460","48,853",74.257B,4.45,48853,74257000000
